Report generated on: 04-19-2021 22:48:19
"API","","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"INTL.34-12-AFG-BKWH.A","            Non-hydroelectric renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00001","0.0001","0.0003","0.0003","0.028","0.03","0.032","0.033","0.035","0.038"
"INTL.35-12-AFG-BKWH.A","                Geothermal (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.36-12-AFG-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0002","0.0002","0.028","0.03","0.032","0.033","0.035","0.038"
"INTL.117-12-AFG-BKWH.A","                    Tide and wave (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.116-12-AFG-BKWH.A","                    Solar (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0002","0.0002","0.028","0.03","0.032","0.033","0.035","0.038"
"INTL.37-12-AFG-BKWH.A","                Wind (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00001","0.0001","0.0001","0.0001","0","0","0","0","0","0"
"INTL.38-12-AFG-BKWH.A","                Biomass and waste (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.82-12-AFG-BKWH.A","        Hydroelectric pumped storage (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-2-AFG-BKWH.A","    Consumption (billion kWh)","1.02114","1.04477","0.76805","0.72961","0.75017","0.68544","0.62057","0.56407","0.5278","0.52315","0.53431","0.65056","0.73891","0.97327","0.93142","0.97362","1.21041","1.48878","1.4290493","2.027433","2.442759","3.033989","3.91916","4.64079","4.78322","4.87454","5.4583","5.77908"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-ALB-BKWH.A","    Generation (billion kWh)","3.141","3.641","3.31","3.441","3.858","4.359","5.857","5.125","5.01","5.337","4.68336","3.64778","3.64056","5.21758","5.5426","5.3848","5.03842","2.82768","3.759","5.201","7.49277","4.14694","4.67865","6.89041","4.67776","5.83705","7.70618","4.48075"
"INTL.27-12-ALB-BKWH.A","        Nuclear (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.28-12-ALB-BKWH.A","        Fossil fuels (billion kWh)","0.321","0.158","0.123","0.16","0.125","0.197","0.188","0.147","0.138","0.106","0.13536","0.12878","0.16356","0.10058","0.1316","0.0658","0.08742","0.06768","0","0","0.00094","0.05546","0","0","0","0","0","0"
"INTL.29-12-ALB-BKWH.A","        Renewables (billion kWh)","2.82","3.483","3.187","3.281","3.733","4.162","5.669","4.978","4.872","5.231","4.548","3.519","3.477","5.117","5.411","5.319","4.951","2.76","3.759","5.201","7.49183","4.09148","4.67865","6.89041","4.67776","5.83705","7.70618","4.48075"
"INTL.33-12-ALB-BKWH.A","            Hydroelectricity (billion kWh)","2.82","3.483","3.187","3.281","3.733","4.162","5.669","4.978","4.872","5.231","4.548","3.519","3.477","5.117","5.411","5.319","4.951","2.76","3.759","5.201","7.49133","4.09068","4.67775","6.88941","4.67676","5.83605","7.70418","4.47975"
"INTL.34-12-ALB-BKWH.A","            Non-hydroelectric renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0005","0.0008","0.0009","0.001","0.001","0.001","0.002","0.001"
"INTL.35-12-ALB-BKWH.A","                Geothermal (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.36-12-ALB-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0005","0.0008","0.0009","0.001","0.001","0.001","0.002","0.001"
"INTL.117-12-ALB-BKWH.A","                    Tide and wave (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.116-12-ALB-BKWH.A","                    Solar (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0005","0.0008","0.0009","0.001","0.001","0.001","0.002","0.001"
"INTL.37-12-ALB-BKWH.A","                Wind (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-ALB-BKWH.A","                Biomass and waste (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
